Route_ID,timestamp,latitude,longitude
0_Austin_Los Angeles,2024-07-09 04:27:31.270921,30.267115,-97.743072
0_Austin_Los Angeles,2024-07-09 04:37:35.836141,30.274387,-97.761541
0_Austin_Los Angeles,2024-07-09 04:47:40.401361,30.264452,-97.786738
0_Austin_Los Angeles,2024-07-09 04:57:44.966581,30.236759,-97.840425
0_Austin_Los Angeles,2024-07-09 05:07:49.531801,30.232651,-97.876297
0_Austin_Los Angeles,2024-07-09 05:17:54.097021,30.232133,-97.925248
0_Austin_Los Angeles,2024-07-09 05:27:58.662241,30.210645,-97.969424
0_Austin_Los Angeles,2024-07-09 05:38:03.227461,30.19631,-98.006981
0_Austin_Los Angeles,2024-07-09 05:48:07.792681,30.195217,-98.058647
0_Austin_Los Angeles,2024-07-09 05:58:12.357901,30.192909,-98.099022
0_Austin_Los Angeles,2024-07-09 06:08:16.923121,30.205646,-98.133184
0_Austin_Los Angeles,2024-07-09 06:18:21.488341,30.197786,-98.177872
0_Austin_Los Angeles,2024-07-09 06:28:26.053561,30.194614,-98.241727
0_Austin_Los Angeles,2024-07-09 06:38:30.618781,30.197652,-98.326223
0_Austin_Los Angeles,2024-07-09 06:48:35.184001,30.214121,-98.37914
0_Austin_Los Angeles,2024-07-09 06:58:39.749221,30.270616,-98.399347
0_Austin_Los Angeles,2024-07-09 07:08:44.314441,30.271244,-98.437587
0_Austin_Los Angeles,2024-07-09 07:18:48.879661,30.252047,-98.52958
0_Austin_Los Angeles,2024-07-09 07:28:53.444881,30.23463,-98.613384
0_Austin_Los Angeles,2024-07-09 07:38:58.010101,30.220722,-98.709393
0_Austin_Los Angeles,2024-07-09 07:49:02.575321,30.227764,-98.820686
0_Austin_Los Angeles,2024-07-09 07:59:07.140541,30.264329,-98.85727
0_Austin_Los Angeles,2024-07-09 08:09:11.705761,30.285496,-98.887276
0_Austin_Los Angeles,2024-07-09 08:19:16.270981,30.29912,-98.999757
0_Austin_Los Angeles,2024-07-09 08:29:20.836201,30.300418,-99.1736
0_Austin_Los Angeles,2024-07-09 08:39:25.401421,30.294274,-99.500319
0_Austin_Los Angeles,2024-07-09 08:49:29.966641,30.404046,-99.652425
0_Austin_Los Angeles,2024-07-09 08:59:34.531861,30.488866,-99.742218
0_Austin_Los Angeles,2024-07-09 09:09:39.097081,30.500988,-99.927762
0_Austin_Los Angeles,2024-07-09 09:19:43.662301,30.488862,-100.033471
0_Austin_Los Angeles,2024-07-09 09:29:48.227521,30.443826,-100.202029
0_Austin_Los Angeles,2024-07-09 09:39:52.792741,30.560403,-100.512729
0_Austin_Los Angeles,2024-07-09 09:49:57.357961,30.615195,-100.743645
0_Austin_Los Angeles,2024-07-09 10:00:01.923181,30.702953,-101.125311
0_Austin_Los Angeles,2024-07-09 10:10:06.488401,30.67786,-101.331673
0_Austin_Los Angeles,2024-07-09 10:20:11.053621,30.713584,-101.524511
0_Austin_Los Angeles,2024-07-09 10:30:15.618841,30.747569,-101.695486
0_Austin_Los Angeles,2024-07-09 10:40:20.184061,30.716664,-101.805267
0_Austin_Los Angeles,2024-07-09 10:50:24.749281,30.859814,-102.077587
0_Austin_Los Angeles,2024-07-09 11:00:29.314501,30.893734,-102.381636
0_Austin_Los Angeles,2024-07-09 11:10:33.879721,30.881884,-102.679849
0_Austin_Los Angeles,2024-07-09 11:20:38.444941,30.894347,-102.925004
0_Austin_Los Angeles,2024-07-09 11:30:43.010161,30.939256,-103.31519
0_Austin_Los Angeles,2024-07-09 11:40:47.575381,31.002947,-103.710921
0_Austin_Los Angeles,2024-07-09 11:50:52.140601,31.052555,-103.977818
0_Austin_Los Angeles,2024-07-09 12:00:56.705821,31.083262,-104.073182
0_Austin_Los Angeles,2024-07-09 12:11:01.271041,31.062044,-104.152762
0_Austin_Los Angeles,2024-07-09 12:21:05.836261,31.067458,-104.223035
0_Austin_Los Angeles,2024-07-09 12:31:10.401481,31.072942,-104.403029
0_Austin_Los Angeles,2024-07-09 12:41:14.966701,31.043047,-104.750505
0_Austin_Los Angeles,2024-07-09 12:51:19.531921,31.037212,-104.868708
0_Austin_Los Angeles,2024-07-09 13:01:24.097141,31.054699,-104.953282
0_Austin_Los Angeles,2024-07-09 13:11:28.662361,31.072256,-105.007687
0_Austin_Los Angeles,2024-07-09 13:21:33.227581,31.17383,-105.360124
0_Austin_Los Angeles,2024-07-09 13:31:37.792801,31.217056,-105.488592
0_Austin_Los Angeles,2024-07-09 13:41:42.358021,31.183545,-105.619945
0_Austin_Los Angeles,2024-07-09 13:51:46.923241,31.235415,-105.7851
0_Austin_Los Angeles,2024-07-09 14:01:51.488461,31.337262,-105.886111
0_Austin_Los Angeles,2024-07-09 14:11:56.053681,31.470985,-106.058918
0_Austin_Los Angeles,2024-07-09 14:22:00.618901,31.543271,-106.149454
0_Austin_Los Angeles,2024-07-09 14:32:05.184121,31.643011,-106.226751
0_Austin_Los Angeles,2024-07-09 14:42:09.749341,31.748504,-106.33855
